"category","measure","model","value","k_wheat_tot","k_wheat"
"Bier","r","MBG/NBD",0.473504568877281,"2.0459318218952","2.22929879285969"
"Bier","r","MBG/CNBD-k",0.744227578079237,"2.0459318218952","2.22929879285969"
"Bier","alpha","BG/NBD",3.88652544676572,"2.0459318218952","2.22929879285969"
"Bier","alpha","BG/CNBD-k",0.991398538346533,"2.0459318218952","2.22929879285969"
"Bier","alpha","MBG/NBD",4.91921295379655,"2.0459318218952","2.22929879285969"
"Bier","alpha","MBG/CNBD-k",1.63800011236568,"2.0459318218952","2.22929879285969"
"Bier","a","BG/NBD",0.625643631561229,"2.0459318218952","2.22929879285969"
"Bier","a","BG/CNBD-k",0.724640680583159,"2.0459318218952","2.22929879285969"
"Bier","a","MBG/NBD",0.624289079288821,"2.0459318218952","2.22929879285969"
"Bier","a","MBG/CNBD-k",0.738802211156318,"2.0459318218952","2.22929879285969"
"Bier","b","BG/NBD",3.0408349184721,"2.0459318218952","2.22929879285969"
"Bier","b","BG/CNBD-k",2.16813099438508,"2.0459318218952","2.22929879285969"
"Bier","b","MBG/NBD",1.77060095814255,"2.0459318218952","2.22929879285969"
"Bier","b","MBG/CNBD-k",1.13857611085986,"2.0459318218952","2.22929879285969"
"Bier","k","BG/NBD",1,"2.0459318218952","2.22929879285969"
"Bier","k","BG/CNBD-k",3,"2.0459318218952","2.22929879285969"
"Bier","k","MBG/NBD",1,"2.0459318218952","2.22929879285969"
"Bier","k","MBG/CNBD-k",3,"2.0459318218952","2.22929879285969"
"Bier","N","BG/NBD",1250,"2.0459318218952","2.22929879285969"
"Bier","N","BG/CNBD-k",1250,"2.0459318218952","2.22929879285969"
"Bier","N","MBG/NBD",1250,"2.0459318218952","2.22929879285969"
"Bier","N","MBG/CNBD-k",1250,"2.0459318218952","2.22929879285969"
"Biskuits.Waffeln","MAE","BG/NBD",1.47672936420004,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","MAE","BG/CNBD-k",1.37736815404081,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","MAE","MBG/NBD",1.42342868416433,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","MAE","MBG/CNBD-k",1.31936689292472,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","RMSE","BG/NBD",3.10991698442708,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","RMSE","BG/CNBD-k",3.17663389292736,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","RMSE","MBG/NBD",3.27509111074578,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","RMSE","MBG/CNBD-k",3.44779864004952,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","BIAS","BG/NBD",0.0759978830329229,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","BIAS","BG/CNBD-k",-0.0843867150609503,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","BIAS","MBG/NBD",0.0114267443157217,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","BIAS","MBG/CNBD-k",-0.160153027773405,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","LL","BG/NBD",-10651.7862664193,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","LL","BG/CNBD-k",-10197.9523227007,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","LL","MBG/NBD",-10640.4627796592,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","LL","MBG/CNBD-k",-10165.7849958407,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","r","BG/NBD",0.350654233051651,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","r","BG/CNBD-k",0.357703029256901,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","r","MBG/NBD",0.872752943232218,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","r","MBG/CNBD-k",1.12415850689444,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","alpha","BG/NBD",3.98706060848458,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","alpha","BG/CNBD-k",1.03194404323369,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","alpha","MBG/NBD",6.59510288293686,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","alpha","MBG/CNBD-k",2.09275390710719,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","a","BG/NBD",0.407578688357128,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","a","BG/CNBD-k",0.54037822967719,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","a","MBG/NBD",0.479614671204658,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","a","MBG/CNBD-k",0.622217200864015,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","b","BG/NBD",1.87240629553007,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","b","BG/CNBD-k",1.69582807559392,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","b","MBG/NBD",1.00119102037048,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","b","MBG/CNBD-k",1.0156165918745,"1.9992195185446","2.13840628319383"
"Biskuits.Waffeln","k","BG/NBD",1,"1.9992195185446","2.13840628319383"
