"cust","date","amt"
10025,2009-06-26,215
10025,2009-07-03,180
10025,2009-08-03,308
10025,2009-08-13,622
10025,2009-08-24,231
10025,2009-09-03,304
10025,2009-09-04,62
10025,2009-09-05,423
10025,2009-09-08,102
10025,2009-09-12,152
10025,2009-09-14,187
10025,2009-09-17,40
10025,2009-09-21,263
10025,2009-09-24,316
10025,2009-10-10,98
10025,2009-10-19,300
10025,2010-01-26,277
10025,2010-03-23,44
10025,2010-03-31,302
10025,2010-04-06,300
10060,2009-04-21,306.9
10060,2009-06-02,167
10060,2009-06-03,168.9
10060,2009-07-25,304
10060,2009-12-30,108
10060,2010-01-09,108
10060,2010-01-26,121
10124,2009-04-21,334
10124,2009-06-25,88
10147,2009-04-29,274
10147,2009-07-09,168
10147,2009-07-27,137.9
10147,2009-09-15,254
10147,2009-11-29,154
10147,2009-12-02,175
10147,2009-12-03,124
10147,2009-12-04,159
10147,2009-12-10,108
10147,2009-12-11,250
10147,2009-12-17,49
10147,2009-12-22,49
10147,2009-12-23,149
10147,2009-12-25,53
10147,2009-12-27,49
10147,2010-02-05,164
10147,2010-02-08,302
10147,2010-02-22,168
10147,2010-02-23,69
10147,2010-02-26,133
10147,2010-03-16,88
10147,2010-03-20,58
10147,2010-03-26,117
10147,2010-04-13,29
10147,2010-04-21,136
10296,2009-04-04,253
10296,2009-04-29,265.9
10332,2009-04-19,296
10332,2010-02-07,125
10366,2009-04-16,159
10366,2009-04-27,158
10366,2009-06-24,489
10366,2009-06-30,118
10366,2009-08-05,117
10366,2009-08-13,38
10366,2009-11-08,123
10366,2009-11-17,49
10366,2009-12-14,29
10366,2009-12-21,196
10397,2009-04-12,177
10410,2009-04-15,258
10410,2009-11-19,167
11237,2009-04-04,108
11237,2009-05-08,108
11237,2009-08-18,238
11237,2009-08-27,306
11237,2010-02-26,179
11239,2009-04-08,89
11239,2009-04-30,49
11243,2009-04-01,189
11247,2009-04-09,159
11250,2009-04-06,69
11252,2009-04-08,59
11252,2009-09-14,89
11252,2009-09-15,496
11252,2010-03-31,49
11253,2009-04-05,60
11255,2009-04-08,29
11255,2009-07-07,88
11255,2009-09-22,336
11255,2010-02-04,224
11259,2009-04-13,501
11259,2009-04-18,208
11259,2009-04-22,59
11259,2009-04-30,256
11259,2009-05-10,0
11259,2009-05-11,118
11259,2009-05-13,316
11259,2009-05-18,90
11259,2009-06-06,49
11259,2009-07-17,77
11259,2009-07-21,198
11259,2009-07-27,413
11259,2009-07-28,255
11259,2009-08-03,190
11259,2009-08-10,33
11259,2009-09-27,39
11259,2009-09-30,179
11259,2009-10-29,398
11259,2009-11-16,0
11259,2010-01-28,212
11259,2010-03-30,148
11259,2010-04-12,22
11260,2009-04-09,68
11264,2009-04-01,325
11273,2009-04-02,147
11273,2009-04-07,148
11275,2009-04-04,69
11278,2009-04-02,355
11278,2009-04-16,228
11278,2009-04-22,287
11278,2009-06-06,29
11278,2009-06-24,99
11278,2009-06-28,99
11278,2009-08-24,59
11281,2009-04-04,89
11281,2009-08-23,169
11282,2009-04-01,388
11284,2009-04-08,99
11284,2009-04-10,19
11284,2009-05-28,29
11284,2010-02-12,29
11288,2009-04-01,158
11291,2009-04-11,109
11291,2009-06-29,128
11291,2009-08-11,84
11291,2009-08-12,88
11291,2009-08-22,118
11292,2009-04-24,216
11292,2009-08-12,633
11294,2009-04-12,438
11295,2009-04-15,79
11295,2009-11-07,309
11296,2009-04-27,256
11297,2009-04-21,128
11297,2009-05-18,138
11297,2010-03-13,99
11303,2009-04-27,148
11308,2009-04-14,49
11309,2009-04-19,346
11309,2009-09-19,59
11310,2009-04-12,99
11311,2009-04-25,141
11318,2009-04-10,110.9
11318,2009-05-12,129
11318,2009-10-27,415
11319,2009-04-15,59
11321,2009-04-23,129
11321,2009-10-16,108
11323,2009-04-13,168
11324,2009-04-20,328
11324,2009-12-26,183
11325,2009-04-14,406
11325,2009-04-15,119
11325,2010-04-01,436
11326,2009-04-19,67
11328,2009-04-14,216
11328,2009-09-01,69
11328,2009-10-18,109
11328,2009-11-17,49
11328,2009-12-09,160
11328,2009-12-28,132
11328,2010-01-11,35
11330,2009-04-10,119
11330,2009-06-26,118
11330,2009-06-28,147
11332,2009-04-21,89
11332,2009-12-05,344.9
11332,2010-03-29,158
11333,2009-04-12,89
11334,2009-04-27,59
11334,2009-08-16,35
11334,2010-01-01,83
11335,2009-04-21,89
11340,2009-04-27,148
11341,2009-04-16,89
11342,2009-04-26,58
11342,2009-12-25,181
11344,2009-04-17,686
11344,2009-04-18,39
11345,2009-04-27,38
11346,2009-04-23,49
11346,2010-01-23,45
11346,2010-03-15,168
11347,2009-04-23,296
11348,2009-04-25,39
11348,2009-06-07,79
11348,2009-09-25,30
11349,2009-04-18,89
11350,2009-04-13,159
11351,2009-04-20,59
11352,2009-04-13,178
11354,2009-04-21,159
11354,2009-05-20,139
11354,2009-06-12,108
11354,2009-07-30,104
11354,2009-12-28,167
11354,2010-02-17,12
11354,2010-04-09,376
11355,2009-04-15,167
11355,2010-01-26,461
11355,2010-04-07,288
11355,2010-04-11,79
11372,2009-04-28,177
11372,2009-05-14,320
11372,2009-05-16,111
11372,2009-06-01,137
11372,2009-06-05,301.9
11372,2009-06-30,271.9
11372,2009-07-01,29
11372,2009-08-10,57
11372,2009-08-19,39
11372,2009-08-27,153.5
11372,2009-09-07,267
11372,2009-09-09,49.8
11372,2009-09-10,247
11372,2009-09-15,24.9
11372,2009-09-30,108
11372,2009-10-10,128
11372,2009-10-13,284
11372,2009-11-09,367
11372,2010-03-02,248
11372,2010-03-12,58
11372,2010-03-13,186
11372,2010-03-15,100
11372,2010-04-09,0
11383,2009-04-28,78
11385,2009-04-28,229
11385,2009-06-03,49
11385,2009-06-15,167
11385,2009-06-22,118
11385,2009-08-27,99
11385,2009-10-10,168
11385,2009-10-21,29
11385,2009-11-10,399
11385,2009-12-20,239
11411,2009-04-30,79
11572,2009-04-03,49
11855,2009-04-22,152.3
11855,2009-05-28,150
11855,2009-08-20,97
11855,2009-09-16,58
11855,2009-10-30,609
11855,2010-03-10,585
11855,2010-03-20,192
11855,2010-04-06,335
11856,2009-04-22,144
11856,2009-04-24,49
11858,2009-04-22,928
11858,2009-04-30,179
11858,2009-06-08,170
11858,2010-01-28,422
11879,2009-04-30,29
11957,2009-04-10,68
11976,2009-04-28,191
12055,2009-04-11,143
12055,2009-07-25,111
12055,2009-12-26,361
12055,2010-02-18,68.5
12055,2010-03-18,164
12083,2009-04-19,155
12083,2009-05-23,151
12083,2009-10-10,249
12271,2009-04-25,196
12271,2009-11-13,256
12297,2009-04-10,330
12690,2009-04-09,213
12690,2009-04-12,199
12690,2009-05-11,198
12690,2009-07-10,218
12690,2009-08-11,212
12797,2009-04-13,98
12803,2009-04-18,130
12931,2009-04-17,208
13021,2009-04-04,188
13021,2009-04-09,164
13021,2009-04-29,155.9
13021,2009-05-02,39
13021,2009-07-15,126
13021,2009-08-05,94
13021,2009-08-07,19
13021,2009-10-07,68
13021,2009-12-06,118
13021,2010-03-23,148
13040,2009-04-23,147
13040,2009-05-26,29
13040,2009-10-12,174
13040,2009-10-15,69
13040,2009-11-26,88
13040,2010-02-26,101
13040,2010-03-02,113
13073,2009-04-06,248
13075,2009-04-06,29
13083,2009-04-08,158
13087,2009-04-02,90
13087,2010-02-28,159
13094,2009-04-07,49
13100,2009-04-01,29
13100,2009-10-13,49
13101,2009-04-09,50
13101,2009-04-15,49
13101,2009-08-01,99
13101,2009-10-06,59
13101,2009-12-06,348
13106,2009-04-08,69
13106,2009-06-16,118
13106,2010-01-15,84
13115,2009-04-08,69
13116,2009-04-07,99
13121,2009-04-07,172
13123,2009-04-08,59
13123,2009-04-16,168
13123,2009-05-06,15
13124,2009-04-14,194.9
13124,2009-05-20,59
13126,2009-04-17,29
13126,2009-04-23,29
